Variable,Variable name (raw),Variable name (clean),Measurement unit,Allowed values,Description
Preference assigned to statement order = 5,study-2-qsort.csv - Column 5,pref_sta_5,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 6,study-2-qsort.csv - Column 6,pref_sta_6,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 7,study-2-qsort.csv - Column 7,pref_sta_7,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 8,study-2-qsort.csv - Column 8,pref_sta_8,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 9,study-2-qsort.csv - Column 9,pref_sta_9,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 10,study-2-qsort.csv - Column 10,pref_sta_10,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 11,study-2-qsort.csv - Column 11,pref_sta_11,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 12,study-2-qsort.csv - Column 12,pref_sta_12,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 13,study-2-qsort.csv - Column 13,pref_sta_13,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 14,study-2-qsort.csv - Column 14,pref_sta_14,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 15,study-2-qsort.csv - Column 15,pref_sta_15,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 16,study-2-qsort.csv - Column 16,pref_sta_16,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 17,study-2-qsort.csv - Column 17,pref_sta_17,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 18,study-2-qsort.csv - Column 18,pref_sta_18,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 19,study-2-qsort.csv - Column 19,pref_sta_19,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 20,study-2-qsort.csv - Column 20,pref_sta_20,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 21,study-2-qsort.csv - Column 21,pref_sta_21,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 22,study-2-qsort.csv - Column 22,pref_sta_22,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 23,study-2-qsort.csv - Column 23,pref_sta_23,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 24,study-2-qsort.csv - Column 24,pref_sta_24,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 25,study-2-qsort.csv - Column 25,pref_sta_25,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 26,study-2-qsort.csv - Column 26,pref_sta_26,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 27,study-2-qsort.csv - Column 27,pref_sta_27,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 28,study-2-qsort.csv - Column 28,pref_sta_28,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 29,study-2-qsort.csv - Column 29,pref_sta_29,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
Preference assigned to statement order = 30,study-2-qsort.csv - Column 30,pref_sta_30,Text,"""Like"", ""Neutral"", ""Unlike""","Participant indicated whether a statement was like their point of view (3 categorical options). For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 1",study-2-qsort.csv - Column 31,reason_sta_1,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 2",study-2-qsort.csv - Column 32,reason_sta_2,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 3",study-2-qsort.csv - Column 33,reason_sta_3,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 4",study-2-qsort.csv - Column 34,reason_sta_4,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 5",study-2-qsort.csv - Column 35,reason_sta_5,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 6",study-2-qsort.csv - Column 36,reason_sta_6,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 7",study-2-qsort.csv - Column 37,reason_sta_7,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 8",study-2-qsort.csv - Column 38,reason_sta_8,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 9",study-2-qsort.csv - Column 39,reason_sta_9,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 10",study-2-qsort.csv - Column 40,reason_sta_10,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 11",study-2-qsort.csv - Column 41,reason_sta_11,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 12",study-2-qsort.csv - Column 42,reason_sta_12,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 13",study-2-qsort.csv - Column 43,reason_sta_13,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 14",study-2-qsort.csv - Column 44,reason_sta_14,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 15",study-2-qsort.csv - Column 45,reason_sta_15,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 16",study-2-qsort.csv - Column 46,reason_sta_16,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 17",study-2-qsort.csv - Column 47,reason_sta_17,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 18",study-2-qsort.csv - Column 48,reason_sta_18,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 19",study-2-qsort.csv - Column 49,reason_sta_19,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 20",study-2-qsort.csv - Column 50,reason_sta_20,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 21",study-2-qsort.csv - Column 51,reason_sta_21,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 22",study-2-qsort.csv - Column 52,reason_sta_22,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 23",study-2-qsort.csv - Column 53,reason_sta_23,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 24",study-2-qsort.csv - Column 54,reason_sta_24,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 25",study-2-qsort.csv - Column 55,reason_sta_25,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 26",study-2-qsort.csv - Column 56,reason_sta_26,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 27",study-2-qsort.csv - Column 57,reason_sta_27,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 28",study-2-qsort.csv - Column 58,reason_sta_28,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 29",study-2-qsort.csv - Column 59,reason_sta_29,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
"Reason for placing at extreme, statement order = 30",study-2-qsort.csv - Column 60,reason_sta_30,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 1,study-2-qsort.csv - Column 61,sort_sta_1,Text,Open-ended / NA,"Participants justification for rating this statemant as the one most like/unlike their most of view. ""NA"" indicates participant did not place this statement at an extreme. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 2,study-2-qsort.csv - Column 62,sort_sta_2,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C9","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 3,study-2-qsort.csv - Column 63,sort_sta_3,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C10","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 4,study-2-qsort.csv - Column 64,sort_sta_4,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C11","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 5,study-2-qsort.csv - Column 65,sort_sta_5,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C12","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 6,study-2-qsort.csv - Column 66,sort_sta_6,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C13","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 7,study-2-qsort.csv - Column 67,sort_sta_7,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C14","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 8,study-2-qsort.csv - Column 68,sort_sta_8,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C15","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 9,study-2-qsort.csv - Column 69,sort_sta_9,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C16","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 10,study-2-qsort.csv - Column 70,sort_sta_10,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C17","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 11,study-2-qsort.csv - Column 71,sort_sta_11,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C18","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 12,study-2-qsort.csv - Column 72,sort_sta_12,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C19","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 13,study-2-qsort.csv - Column 73,sort_sta_13,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C20","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 14,study-2-qsort.csv - Column 74,sort_sta_14,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C21","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 15,study-2-qsort.csv - Column 75,sort_sta_15,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C22","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 16,study-2-qsort.csv - Column 76,sort_sta_16,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C23","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 17,study-2-qsort.csv - Column 77,sort_sta_17,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C24","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 18,study-2-qsort.csv - Column 78,sort_sta_18,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C25","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 19,study-2-qsort.csv - Column 79,sort_sta_19,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C26","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 20,study-2-qsort.csv - Column 80,sort_sta_20,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C27","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 21,study-2-qsort.csv - Column 81,sort_sta_21,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C28","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 22,study-2-qsort.csv - Column 82,sort_sta_22,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C29","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 23,study-2-qsort.csv - Column 83,sort_sta_23,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C30","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 24,study-2-qsort.csv - Column 84,sort_sta_24,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C31","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 25,study-2-qsort.csv - Column 85,sort_sta_25,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C32","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 26,study-2-qsort.csv - Column 86,sort_sta_26,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C33","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 27,study-2-qsort.csv - Column 87,sort_sta_27,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C34","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 28,study-2-qsort.csv - Column 88,sort_sta_28,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C35","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 29,study-2-qsort.csv - Column 89,sort_sta_29,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C36","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Placement in Q sort of statement order = 30,study-2-qsort.csv - Column 90,sort_sta_30,Text,"C1, C2, C3, C4, C5, C6, C7, C8, C37","Participant allocation of statement in the Q sort. C1 is the most extreme ""unlike"" column, C9 is the most extreme ""like"" column, C5 is the middle column, etc. For specific statement, see study2/studyd/q-statement-ordered.csv."
Time to complete instruction page,study-2-qsort.csv - Column 91,time_instruct,Numeric,0-Inf,Measured in seconds
Time to complete pilot questions,study-2-qsort.csv - Column 92,time_pilot,Numeric,0-Inf,Measured in seconds
Time to complete preference assignment,study-2-qsort.csv - Column 93,time_pref,Numeric,0-Inf,Measured in seconds
Time to complete reason questions,study-2-qsort.csv - Column 94,time_reason,Numeric,0-Inf,Measured in seconds
Time to complete Q sort,study-2-qsort.csv - Column 95,time_sort,Numeric,0-Inf,Measured in seconds
"Frequency of ""No room"" error messages",study-2-qsort.csv - Column 96,count_noroom,Numeric,0-Inf,Number of times participant triggered an error message when attempting to place a card in a Q sort column with no remaining room.
"Frequency of ""Inconsistency"" error messages",study-2-qsort.csv - Column 97,count_incon,Numeric,0-Inf,Number of times participant triggered an error message when attempting to place a preference-incongrueous statement at one end of the Q sort.
"Supress ""no room"" error messages",study-2-qsort.csv - Column 98,supress_noroom,Logical,TRUE/FALSE,Whether participant opted to suppress error messages that trigger when attempting to place a card in a Q sort column with no remaining room.
"Supress ""Inconsistency"" error messages",study-2-qsort.csv - Column 99,supress_incon,Logical,TRUE/FALSE,Whether participant opted to suppress an error message that triggered when attempting to place a preference-incongrueous statement at one end of the Q sort.
Response to pilot question 1,study-2-qsort.csv - Column 100,pilot_response1,Text,Open-ended / NA,"As this study did not involve piloting the Q sort, this question was ommited (all responses = ""NA"")"
Response to pilot question 2,study-2-qsort.csv - Column 101,pilot_response2,Text,Open-ended / NA,"As this study did not involve piloting the Q sort, this question was ommited (all responses = ""NA"")"
Q sort card placement frequency,study-2-qsort.csv - Column 102,place_grid,Numeric,30-Inf,How many times a card was placed in the Q sort grid.
"Q sort card placement frequency, in available area",study-2-qsort.csv - Column 103,place_avail,Numeric,0-Inf,How many times a card was placed in the Q sort available area (the stack of cards that required sorting).
"Q sort card placement frequency, in temporary area",study-2-qsort.csv - Column 104,place_spare,Numeric,0-Inf,How many cards were placed in the temporary holding area
"Q sort card placement frequency, maximum in temporary area",study-2-qsort.csv - Column 105,place_spare_max,Numeric,0-Inf,"The maximum number of cards placed in the temporary holding area, at any one time."
Q sort character ID,study-2-qsort.csv - Column 106,qs,Text,0000000-9999999,"As per UniqueID, but text"
Q sort password,study-2-qsort.csv - Column 107,pass,Numeric,0-9999999,A password that corresponds to UniqueID/CharID. Participants recieve this after completing the Q sort. The password must be entered into Qualtrics to continue with the survey.
Time participant started the Q sort,study-2-qsort.csv - Column 108,time_start_qsort,Date,DD/MM/YYYY hh:mm:ss,Date and time participant opened the Q sort web application. Used with timing data to match participants to Qualtrics data.
